Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
CCNB3	1	0	0	0	1	1	1
CCR8	1	0	0	0	1	1	1
CCR9	1	0	0	0	1	1	1
CD300LB	1	0	0	0	1	1	1
CDHR2	1	0	0	0	1	1	1
CDX1	1	0	0	0	1	1	1
CEACAM21	0	0	0	1	1	1	1
CELA1	1	0	0	0	1	1	1
CELA3A	1	0	0	0	1	1	1
CFAP52	1	0	0	0	1	1	1
CHAT	1	0	0	0	1	1	1
CHIA	1	0	0	0	1	1	1
CHRNA1	1	0	0	0	1	1	1
CHRNA2	1	0	0	0	1	1	1
CHST13	1	0	0	0	1	1	1
CIB4	1	0	0	0	1	1	1
CLC	1	0	0	0	1	1	1
CLCNKB	1	0	0	0	1	1	1
CLEC4M	1	0	0	0	1	1	1
CPA1	1	0	0	0	1	1	1
CPB2	1	0	0	0	1	1	1
CPNE9	1	0	0	0	1	1	1
CPO	1	0	0	0	1	1	1
CREB3L3	1	0	0	0	1	1	1
CRHR2	1	0	0	0	1	1	1
CRYBA1	1	0	0	0	1	1	1
CRYBA4	1	0	0	0	1	1	1
CRYBB2	1	0	0	0	1	1	1
CSMD3	1	0	0	0	1	1	1
CSN1S1	0	1	0	0	1	1	1
CSN2	1	0	0	0	1	1	1
CSRP3	1	0	0	0	1	1	1
CST8	1	0	0	0	1	1	1
CSTL1	1	0	0	0	1	1	1
CT45A1	1	0	0	0	1	1	1
CTNNA2	1	0	0	0	1	1	1
CTXN3	0	1	0	0	1	1	1
CXorf21	1	0	0	0	1	1	1
CYP11B1	1	0	0	0	1	1	1
CYP2A13	1	0	0	0	1	1	1
CYP2C8	1	0	0	0	1	1	1
CYP2F1	1	0	0	0	1	1	1
CYP3A4	1	0	0	0	1	1	1
CYP4A11	1	0	0	0	1	1	1
CYP4Z1	1	0	0	0	1	1	1
DAW1	1	0	0	0	1	1	1
DBX1	1	0	0	0	1	1	1
DBX2	1	0	0	0	1	1	1
DCAF8L2	1	0	0	0	1	1	1
DCST1	1	0	0	0	1	1	1
DCSTAMP	1	0	0	0	1	1	1
DDX4	1	0	0	0	1	1	1
DEFB114	1	0	0	0	1	1	1
DEFB116	1	0	0	0	1	1	1
DEFB121	1	0	0	0	1	1	1
DEFB123	0	1	0	0	1	1	1
DEFB124	0	1	0	0	1	1	1
DEFB125	1	0	0	0	1	1	1
DHRS7C	1	0	0	0	1	1	1
DLX1	1	0	0	0	1	1	1
DMRT1	1	0	0	0	1	1	1
DMRTB1	1	0	0	0	1	1	1
DMRTC2	1	0	0	0	1	1	1
DNAJC5B	0	0	1	0	1	1	1
DPCR1	1	0	0	0	1	1	1
DPEP3	0	1	0	0	1	1	1
DPPA4	1	0	0	0	1	1	1
DRD3	1	0	0	0	1	1	1
DRD4	1	0	0	0	1	1	1
DRGX	1	0	0	0	1	1	1
DSCAM	1	0	0	0	1	1	1
DSPP	1	0	0	0	1	1	1
DUPD1	1	0	0	0	1	1	1
DUSP26	1	0	0	0	1	1	1
DYDC2	1	0	0	0	1	1	1
ELSPBP1	1	0	0	0	1	1	1
ERMN	1	0	0	0	1	1	1
ESPNL	1	0	0	0	1	1	1
ETV3L	1	0	0	0	1	1	1
EXD1	1	0	0	0	1	1	1
F9	1	0	0	0	1	1	1
FABP12	1	0	0	0	1	1	1
FABP9	1	0	0	0	1	1	1
FAM135B	1	0	0	0	1	1	1
FAM163B	1	0	0	0	1	1	1
FAM179A	1	0	0	0	1	1	1
FAM209B	1	0	0	0	1	1	1
FAM216B	1	0	0	0	1	1	1
FAM57B	1	0	0	0	1	1	1
FAM69C	1	0	0	0	1	1	1
FAM9C	1	0	0	0	1	1	1
FASLG	1	0	0	0	1	1	1
FATE1	1	0	0	0	1	1	1
FBP2	1	0	0	0	1	1	1
FBXO15	1	0	0	0	1	1	1
FCRL4	1	0	0	0	1	1	1
FER1L6	1	0	0	0	1	1	1
FGF17	1	0	0	0	1	1	1
FGL1	1	0	0	0	1	1	1
FMR1NB	1	0	0	0	1	1	1
FNDC8	1	0	0	0	1	1	1
FOXR1	0	0	0	1	1	1	1
FSCN2	1	0	0	0	1	1	1
FUCA1	1	0	0	0	1	1	1
G6PC2	1	0	0	0	1	1	1
GADL1	1	0	0	0	1	1	1
GAL3ST2	1	0	0	0	1	1	1
GAL3ST3	1	0	0	0	1	1	1
GBX1	1	0	0	0	1	1	1
GDAP1L1	1	0	0	0	1	1	1
GDF2	1	0	0	0	1	1	1
GDPD4	1	0	0	0	1	1	1
GFRAL	1	0	0	0	1	1	1
GHRL	1	0	0	0	1	1	1
GHSR	0	1	0	0	1	1	1
GIF	0	0	0	1	1	1	1
GKN2	1	0	0	0	1	1	1
GLT1D1	1	0	0	0	1	1	1
GLYATL2	1	0	0	0	1	1	1
GNAT2	1	0	0	0	1	1	1
GOLGA6A	1	0	0	0	1	1	1
GOLGA6D	1	0	0	0	1	1	1
GP2	1	0	0	0	1	1	1
GP6	1	0	0	0	1	1	1
GPR149	1	0	0	0	1	1	1
GPR17	1	0	0	0	1	1	1
GPRC6A	1	0	0	0	1	1	1
GPX5	0	1	0	0	1	1	1
GRIA4	1	0	0	0	1	1	1
GRIK4	1	0	0	0	1	1	1
GRM2	1	0	0	0	1	1	1
GRM7	1	0	0	0	1	1	1
GRP	1	0	0	0	1	1	1
GRXCR1	0	1	0	0	1	1	1
GSG1	1	0	0	0	1	1	1
GSTA5	1	0	0	0	1	1	1
HCRTR2	0	1	0	0	1	1	1
HESX1	1	0	0	0	1	1	1
HGFAC	0	0	0	1	1	1	1
HHLA2	1	0	0	0	1	1	1
HIGD2B	1	0	0	0	1	1	1
HMGB4	0	1	0	0	1	1	1
HOGA1	1	0	0	0	1	1	1
HPD	1	0	0	0	1	1	1
HPX	1	0	0	0	1	1	1
HRH4	1	0	0	0	1	1	1
HSD3B2	1	0	0	0	1	1	1
HTR1E	1	0	0	0	1	1	1
HTR2B	0	1	0	0	1	1	1
HYAL4	1	0	0	0	1	1	1
IAPP	1	0	0	0	1	1	1
IDO2	1	0	0	0	1	1	1
IFIT1B	1	0	0	0	1	1	1
IL12A	1	0	0	0	1	1	1
IL17REL	1	0	0	0	1	1	1
IL19	1	0	0	0	1	1	1
IL22	0	1	0	0	1	1	1
IL22RA2	1	0	0	0	1	1	1
IL23R	1	0	0	0	1	1	1
IL26	1	0	0	0	1	1	1
IL27RA	0	1	0	0	1	1	1
IL36B	1	0	0	0	1	1	1
IL37	1	0	0	0	1	1	1
IL5	1	0	0	0	1	1	1
INSC	1	0	0	0	1	1	1
INSL3	1	0	0	0	1	1	1
IQUB	0	1	0	0	1	1	1
ITIH6	1	0	0	0	1	1	1
IZUMO1	1	0	0	0	1	1	1
JOSD2	1	0	0	0	1	1	1
KCNG2	1	0	0	0	1	1	1
KCNH7	1	0	0	0	1	1	1
KCNIP1	1	0	0	0	1	1	1
KCNIP4	1	0	0	0	1	1	1
KCNJ1	1	0	0	0	1	1	1
KCNJ13	1	0	0	0	1	1	1
KCNJ9	1	0	0	0	1	1	1
KCNMB2	1	0	0	0	1	1	1
KCNU1	1	0	0	0	1	1	1
KERA	1	0	0	0	1	1	1
KIR3DL1	1	0	0	0	1	1	1
KIR3DL2	1	0	0	0	1	1	1
KLB	1	0	0	0	1	1	1
KLHDC8A	1	0	0	0	1	1	1
KLHL10	1	0	0	0	1	1	1
KLHL30	1	0	0	0	1	1	1
KLRF1	1	0	0	0	1	1	1
KMT2B	0	1	0	0	1	1	1
KNDC1	1	0	0	0	1	1	1
KRT25	1	0	0	0	1	1	1
KRT35	1	0	0	0	1	1	1
KRT36	1	0	0	0	1	1	1
KRT37	1	0	0	0	1	1	1
KRT71	1	0	0	0	1	1	1
KRT73	1	0	0	0	1	1	1
KRTAP5-11	1	0	0	0	1	1	1
LCN1	1	0	0	0	1	1	1
LCN8	1	0	0	0	1	1	1
LDLRAD1	1	0	0	0	1	1	1
LEFTY2	1	0	0	0	1	1	1
LEKR1	1	0	0	0	1	1	1
LGALS13	1	0	0	0	1	1	1
LMAN1L	1	0	0	0	1	1	1
LRIT2	1	0	0	0	1	1	1
LRRC19	1	0	0	0	1	1	1
LRRC43	1	0	0	0	1	1	1
LRRC52	1	0	0	0	1	1	1
LRTM1	1	0	0	0	1	1	1
LUZP4	0	1	0	0	1	1	1
LYG1	1	0	0	0	1	1	1
LYZL6	1	0	0	0	1	1	1
MATN4	1	0	0	0	1	1	1
MCF2	0	0	0	1	1	1	1
MCHR2	1	0	0	0	1	1	1
MEP1A	0	1	0	0	1	1	1
MEP1B	0	1	0	0	1	1	1
MLANA	1	0	0	0	1	1	1
MMD2	1	0	0	0	1	1	1
MMP26	1	0	0	0	1	1	1
MOGAT3	1	0	0	0	1	1	1
MPO	1	0	0	0	1	1	1
MRPS26	1	0	0	0	1	1	1
MS4A13	1	0	0	0	1	1	1
MS4A7	1	0	0	0	1	1	1
MSH4	1	0	0	0	1	1	1
MTNR1B	0	1	0	0	1	1	1
MURC	1	0	0	0	1	1	1
MYBPC2	0	0	0	1	1	1	1
MYH2	1	0	0	0	1	1	1
MYL10	1	0	0	0	1	1	1
MYL2	1	0	0	0	1	1	1
MYOZ3	0	1	0	0	1	1	1
MYPN	1	0	0	0	1	1	1
NANOS3	1	0	0	0	1	1	1
NAT2	1	0	0	0	1	1	1
NCR2	1	0	0	0	1	1	1
NDST4	1	0	0	0	1	1	1
NELFB	0	1	0	0	1	1	1
NEUROD2	1	0	0	0	1	1	1
NEUROD4	1	0	0	0	1	1	1
NKX6-1	1	0	0	0	1	1	1
NLRP11	1	0	0	0	1	1	1
NLRP6	1	0	0	0	1	1	1
NME5	1	0	0	0	1	1	1
NOBOX	1	0	0	0	1	1	1
NOXRED1	0	1	0	0	1	1	1
NPHS1	1	0	0	0	1	1	1
NPSR1	1	0	0	0	1	1	1
NR0B1	1	0	0	0	1	1	1
NRAP	1	0	0	0	1	1	1
NTRK1	1	0	0	0	1	1	1
NTSR2	1	0	0	0	1	1	1
NUP210L	1	0	0	0	1	1	1
NWD1	1	0	0	0	1	1	1
ODAM	1	0	0	0	1	1	1
ODF3L2	1	0	0	0	1	1	1
ODF4	1	0	0	0	1	1	1
OIT3	1	0	0	0	1	1	1
OLAH	1	0	0	0	1	1	1
OR10H3	1	0	0	0	1	1	1
OR10K2	1	0	0	0	1	1	1
OR1C1	1	0	0	0	1	1	1
OR2H2	1	0	0	0	1	1	1
OR2L13	1	0	0	0	1	1	1
OR2T11	1	0	0	0	1	1	1
OR2T2	1	0	0	0	1	1	1
OR2T35	1	0	0	0	1	1	1
OR4D2	1	0	0	0	1	1	1
OR4N5	1	0	0	0	1	1	1
OR56A4	1	0	0	0	1	1	1
OR7A10	1	0	0	0	1	1	1
OR7D2	1	0	0	0	1	1	1
OTOP2	1	0	0	0	1	1	1
P2RX2	1	0	0	0	1	1	1
P2RX3	1	0	0	0	1	1	1
P2RY12	1	0	0	0	1	1	1
PADI4	1	0	0	0	1	1	1
PAGE1	1	0	0	0	1	1	1
PASD1	1	0	0	0	1	1	1
PCOLCE	1	0	0	0	1	1	1
PDILT	1	0	0	0	1	1	1
PEBP4	1	0	0	0	1	1	1
PGA5	1	0	0	0	1	1	1
PGLYRP2	1	0	0	0	1	1	1
PHOSPHO1	1	0	0	0	1	1	1
PIWIL1	1	0	0	0	1	1	1
PKLR	1	0	0	0	1	1	1
PLA2G2E	1	0	0	0	1	1	1
PLAC8L1	1	0	0	0	1	1	1
PLCZ1	1	0	0	0	1	1	1
PLG	1	0	0	0	1	1	1
PNLDC1	1	0	0	0	1	1	1
PNLIP	1	0	0	0	1	1	1
PNLIPRP3	1	0	0	0	1	1	1
POMC	1	0	0	0	1	1	1
PON1	1	0	0	0	1	1	1
PPP1R17	1	0	0	0	1	1	1
PPP4R2	0	1	0	0	1	1	1
PRAMEF12	1	0	0	0	1	1	1
PRAMEF14	1	0	0	0	1	1	1
PRAMEF6	1	0	0	0	1	1	1
PRAMEF7	1	0	0	0	1	1	1
PROKR2	1	0	0	0	1	1	1
PROZ	1	0	0	0	1	1	1
PRSS48	1	0	0	0	1	1	1
PRSS58	1	0	0	0	1	1	1
PSG2	1	0	0	0	1	1	1
PSKH2	1	0	0	0	1	1	1
PSMA8	1	0	0	0	1	1	1
PTCHD2	1	0	0	0	1	1	1
PTH	1	0	0	0	1	1	1
PTPN5	0	1	0	0	1	1	1
PTX4	0	0	1	0	1	1	1
RAB19	1	0	0	0	1	1	1
RAD51AP2	1	0	0	0	1	1	1
RAD9B	1	0	0	0	1	1	1
RBP3	1	0	0	0	1	1	1
RBPJL	1	0	0	0	1	1	1
RCVRN	1	0	0	0	1	1	1
RDH8	1	0	0	0	1	1	1
RERGL	1	0	0	0	1	1	1
RFX4	1	0	0	0	1	1	1
RFX6	1	0	0	0	1	1	1
RGS21	1	0	0	0	1	1	1
RGS22	1	0	0	0	1	1	1
RNASE10	0	1	0	0	1	1	1
RNF17	1	0	0	0	1	1	1
RPE65	1	0	0	0	1	1	1
RSPH14	1	0	0	0	1	1	1
RSPO1	1	0	0	0	1	1	1
RSPO2	1	0	0	0	1	1	1
RTL1	1	0	0	0	1	1	1
RTP2	1	0	0	0	1	1	1
RTP5	1	0	0	0	1	1	1
RXFP2	0	0	0	1	1	1	1
SAMD3	1	0	0	0	1	1	1
SAMD7	0	1	0	0	1	1	1
SART1	1	0	0	0	1	1	1
SAXO2	1	0	0	0	1	1	1
SBK2	1	0	0	0	1	1	1
SCGN	1	0	0	0	1	1	1
SCN10A	1	0	0	0	1	1	1
SCRT1	1	0	0	0	1	1	1
SEL1L2	1	0	0	0	1	1	1
SELV	1	0	0	0	1	1	1
SEPT12	1	0	0	0	1	1	1
SERPINA11	1	0	0	0	1	1	1
SERPINA12	1	0	0	0	1	1	1
SERPINA6	1	0	0	0	1	1	1
SERTM1	0	1	0	0	1	1	1
SFTPC	1	0	0	0	1	1	1
SH2D1B	0	0	0	1	1	1	1
SH2D4B	1	0	0	0	1	1	1
SH3GL3	1	0	0	0	1	1	1
SHISA3	1	0	0	0	1	1	1
SI	1	0	0	0	1	1	1
SIGLEC8	1	0	0	0	1	1	1
SIGLECL1	1	0	0	0	1	1	1
SIRPD	1	0	0	0	1	1	1
SIRT4	1	0	0	0	1	1	1
SLC10A2	1	0	0	0	1	1	1
SLC13A5	0	1	0	0	1	1	1
SLC16A8	1	0	0	0	1	1	1
SLC17A2	1	0	0	0	1	1	1
SLC17A6	1	0	0	0	1	1	1
SLC22A12	1	0	0	0	1	1	1
SLC22A14	0	1	0	0	1	1	1
SLC22A9	1	0	0	0	1	1	1
SLC25A31	1	0	0	0	1	1	1
SLC26A4	1	0	0	0	1	1	1
SLC2A2	1	0	0	0	1	1	1
SLC35F3	1	0	0	0	1	1	1
SLC36A2	1	0	0	0	1	1	1
SLC39A12	1	0	0	0	1	1	1
SLC5A8	1	0	0	0	1	1	1
SLC6A13	1	0	0	0	1	1	1
SLC6A16	1	0	0	0	1	1	1
SLC7A3	1	0	0	0	1	1	1
SLC8A3	1	0	0	0	1	1	1
SLCO6A1	1	0	0	0	1	1	1
SMCO3	1	0	0	0	1	1	1
SMCP	1	0	0	0	1	1	1
SMR3A	1	0	0	0	1	1	1
SMYD1	1	0	0	0	1	1	1
SMYD5	1	0	0	0	1	1	1
SNCB	1	0	0	0	1	1	1
SORCS3	1	0	0	0	1	1	1
SOX10	0	1	0	0	1	1	1
SOX8	1	0	0	0	1	1	1
SPACA3	1	0	0	0	1	1	1
SPATA16	1	0	0	0	1	1	1
SPATA31A7	0	1	0	0	1	1	1
SPDYE5	1	0	0	0	1	1	1
SPEF1	1	0	0	0	1	1	1
SPIC	1	0	0	0	1	1	1
SPINK2	1	0	0	0	1	1	1
ST18	1	0	0	0	1	1	1
STAC2	1	0	0	0	1	1	1
STARD6	0	1	0	0	1	1	1
STKLD1	1	0	0	0	1	1	1
STOML3	1	0	0	0	1	1	1
STRA8	1	0	0	0	1	1	1
SULT1C3	1	0	0	0	1	1	1
SUN5	1	0	0	0	1	1	1
SYCE1	1	0	0	0	1	1	1
SYCP1	1	0	0	0	1	1	1
SYNGR4	1	0	0	0	1	1	1
SYNPR	1	0	0	0	1	1	1
SYT4	1	0	0	0	1	1	1
TAAR2	1	0	0	0	1	1	1
TBC1D21	1	0	0	0	1	1	1
TBCB	1	0	0	0	1	1	1
TBX10	0	0	0	1	1	1	1
TCP11	1	0	0	0	1	1	1
TCTEX1D1	1	0	0	0	1	1	1
TECTA	1	0	0	0	1	1	1
TEKT3	1	0	0	0	1	1	1
TEX26	1	0	0	0	1	1	1
TEX37	1	0	0	0	1	1	1
THEG	1	0	0	0	1	1	1
TIMD4	1	0	0	0	1	1	1
TMC3	1	0	0	0	1	1	1
TMEM202	1	0	0	0	1	1	1
TMEM211	1	0	0	0	1	1	1
TMEM244	1	0	0	0	1	1	1
TMEM252	1	0	0	0	1	1	1
TMEM72	1	0	0	0	1	1	1
TMIGD2	1	0	0	0	1	1	1
TMOD4	1	0	0	0	1	1	1
TMPRSS11F	0	1	0	0	1	1	1
TMPRSS15	1	0	0	0	1	1	1
TOMM20L	1	0	0	0	1	1	1
TRIM15	1	0	0	0	1	1	1
TRIM40	1	0	0	0	1	1	1
TRIM48	1	0	0	0	1	1	1
TRIM55	1	0	0	0	1	1	1
TRIM63	1	0	0	0	1	1	1
TRIM74	1	0	0	0	1	1	1
TSGA10IP	1	0	0	0	1	1	1
TUBB8	1	0	0	0	1	1	1
TULP2	1	0	0	0	1	1	1
TXLNB	1	0	0	0	1	1	1
UCN3	1	0	0	0	1	1	1
UGT2A1	0	1	0	0	1	1	1
UGT2B28	1	0	0	0	1	1	1
UNC5A	1	0	0	0	1	1	1
UNCX	1	0	0	0	1	1	1
VIT	1	0	0	0	1	1	1
VNN3	1	0	0	0	1	1	1
VSTM2A	1	0	0	0	1	1	1
WDR63	1	0	0	0	1	1	1
WDR64	1	0	0	0	1	1	1
WI2-3308P17.2	1	0	0	0	1	1	1
WNT3A	1	0	0	0	1	1	1
WNT8A	1	0	0	0	1	1	1
WT1	0	0	1	0	1	1	1
XAGE3	1	0	0	0	1	1	1
XKR3	1	0	0	0	1	1	1
YIPF7	1	0	0	0	1	1	1
ZDHHC22	1	0	0	0	1	1	1
ZNF157	1	0	0	0	1	1	1
ZPR1	1	0	0	0	1	1	1
