	Chr	Start	End	Name	Score	Strand	Length	Average_expression
ENSG00000144962	chr3	172889357	173141235	SPATA16	0	-	251878	0.013
ENSG00000145087	chr3	120908072	121424761	STXBP5L	0	+	516689	0.518
ENSG00000145192	chr3	186613060	186621318	AHSG	0	+	8258	0.035
ENSG00000145242	chr4	65319563	65670495	EPHA5	0	-	350932	0.1
ENSG00000145248	chr4	48483343	48489526	SLC10A4	0	+	6183	0.17
ENSG00000145283	chr4	86823468	86849384	SLC10A6	0	-	25916	0.531
ENSG00000145309	chr4	70334981	70337116	CABS1	0	+	2135	0.003
ENSG00000145321	chr4	71741696	71804041	GC	0	-	62345	0.043
ENSG00000145384	chr4	119317250	119322138	FABP2	0	-	4888	0.014
ENSG00000145428	chr4	153710160	153760024	RNF175	0	-	49864	0.959
ENSG00000145526	chr5	19471296	20575873	CDH18	0	-	1104577	0.553
ENSG00000145626	chr5	35951006	36001028	UGT3A1	0	-	50022	0.063
ENSG00000145700	chr5	75068275	75236911	ANKRD31	0	-	168636	0.627
ENSG00000145708	chr5	76953045	76981158	CRHBP	0	+	28113	0.39
ENSG00000145721	chr5	97091867	97142753	LIX1	0	-	50886	0.287
ENSG00000145757	chr5	95652181	95698711	SPATA9	0	-	46530	0.717
ENSG00000145777	chr5	111070062	111078026	TSLP	0	+	7964	0.408
ENSG00000145826	chr5	135922279	135954983	LECT2	0	-	32704	0.014
ENSG00000145839	chr5	135892246	135895841	IL9	0	-	3595	0.009
ENSG00000145850	chr5	156919292	156963226	TIMD4	0	-	43934	0.508
ENSG00000145879	chr5	148312419	148315922	SPINK7	0	+	3503	0.024
ENSG00000145888	chr5	151822513	151924851	GLRA1	0	-	102338	0.04
ENSG00000146005	chr5	139795808	139844466	PSD2	0	+	48658	0.493
ENSG00000146039	chr6	25754699	25781199	SLC17A4	0	+	26500	0.032
ENSG00000146047	chr6	25726777	25727345	H2BC1	0	+	568	0.006
ENSG00000146090	chr5	180100795	180209211	RASGEF1C	0	-	108416	0.612
ENSG00000146147	chr6	53929982	54266280	MLIP	0	+	336298	0.52
ENSG00000146166	chr6	63275951	63319983	LGSN	0	-	44032	0.161
ENSG00000146216	chr6	43243481	43288258	TTBK1	0	+	44777	0.663
ENSG00000146250	chr6	83512534	83525704	PRSS35	0	+	13170	0.732
ENSG00000146276	chr6	89177504	89231278	GABRR1	0	-	53774	0.112
ENSG00000146360	chr6	109978256	109980720	GPR6	0	+	2464	0.108
ENSG00000146378	chr6	132617022	132624275	TAAR2	0	-	7253	0.001
ENSG00000146383	chr6	132570322	132571359	TAAR6	0	+	1037	0.031
ENSG00000146385	chr6	132552693	132553721	TAAR8	0	+	1028	0.001
ENSG00000146399	chr6	132643312	132659182	TAAR1	0	-	15870	0.009
ENSG00000146469	chr6	152750797	152759765	VIP	0	+	8968	0.107
ENSG00000146618	chr7	19144782	19145421	FERD3L	0	-	639	0.004
ENSG00000146678	chr7	45888360	45893660	IGFBP1	0	+	5300	0.2
ENSG00000146755	chr7	73312536	73328082	TRIM50	0	-	15546	0.164
ENSG00000146809	chr7	123567010	123639481	ASB15	0	+	72471	0.104
ENSG00000146839	chr7	100733595	100797797	ZAN	0	+	64202	0.286
ENSG00000146857	chr7	135231979	135258663	STRA8	0	+	26684	0.214
ENSG00000146926	chr7	151175698	151187832	ASB10	0	-	12134	0.007
ENSG00000147081	chrX	50190777	50201007	AKAP4	0	-	10230	0.003
ENSG00000147117	chrX	47370578	47414498	ZNF157	0	+	43920	0.129
ENSG00000147127	chrX	70282093	70285002	RAB41	0	+	2909	0.264
ENSG00000147138	chrX	79144688	79175318	GPR174	0	+	30630	0.758
ENSG00000147145	chrX	78747709	78758714	LPAR4	0	+	11005	0.537
ENSG00000147160	chrX	70040542	70049938	AWAT2	0	-	9396	0.146
ENSG00000147166	chrX	71301750	71305371	ITGB1BP2	0	+	3621	0.433
ENSG00000147174	chrX	71578437	71613583	GCNA	0	+	35146	0.942
ENSG00000147183	chrX	88747225	88754785	CPXCR1	0	+	7560	0.003
ENSG00000147206	chrX	103075810	103093143	NXF3	0	-	17333	0.245
ENSG00000147246	chrX	114584078	114910061	HTR2C	0	+	325983	0.148
ENSG00000147262	chrX	130379449	130385674	GPR119	0	-	6225	0.001
ENSG00000147378	chrX	151716035	151723194	FATE1	0	+	7159	0.256
ENSG00000147432	chr8	42697366	42737407	CHRNB3	0	+	40041	0.015
ENSG00000147434	chr8	42752620	42796392	CHRNA6	0	-	43772	0.993
ENSG00000147481	chr8	49909789	50796692	SNTG1	0	+	886903	0.15
ENSG00000147488	chr8	52110838	52460959	ST18	0	-	350121	0.382
ENSG00000147509	chr8	53851795	53959303	RGS20	0	+	107508	0.399
ENSG00000147570	chr8	66021553	66101245	DNAJC5B	0	+	79692	0.932
ENSG00000147571	chr8	66176376	66178464	CRH	0	-	2088	0.049
ENSG00000147573	chr8	66126896	66175485	TRIM55	0	+	48589	0.916
ENSG00000147588	chr8	81440326	81447439	PMP2	0	-	7113	0.12
ENSG00000147596	chr8	70051651	70071693	PRDM14	0	-	20042	0.013
ENSG00000147647	chr8	104330324	104467055	DPYS	0	-	136731	0.132
ENSG00000147655	chr8	107899316	108083642	RSPO2	0	-	184326	0.079
ENSG00000147869	chr9	14719724	14722733	CER1	0	-	3009	0.012
ENSG00000147873	chr9	21304326	21305313	IFNA5	0	-	987	0.014
ENSG00000147885	chr9	21216373	21217311	IFNA16	0	-	938	0.001
ENSG00000148123	chr9	101028727	101325135	PLPPR1	0	+	296408	0.447
ENSG00000148136	chr9	104526253	104527209	OR13C4	0	-	956	0.001
ENSG00000148156	chr9	108854588	108855986	ACTL7B	0	-	1398	0.013
ENSG00000148215	chr9	122788933	122789895	OR5C1	0	+	962	0.006
ENSG00000148386	chr9	135663309	135666961	LCN9	0	+	3652	0.003
ENSG00000148408	chr9	137877782	138124624	CACNA1B	0	+	246842	0.997
ENSG00000148482	chr10	17951839	18043292	SLC39A12	0	+	91453	0.231
ENSG00000148483	chr10	17752201	17800868	TMEM236	0	+	48667	0.252
ENSG00000148584	chr10	50799409	50885675	A1CF	0	-	86266	0.085
ENSG00000148604	chr10	84230666	84259960	RGR	0	+	29294	0.322
ENSG00000148677	chr10	90912096	90921087	ANKRD1	0	-	8991	0.925
ENSG00000148680	chr10	90740823	90858039	HTR7	0	-	117216	0.718
ENSG00000148704	chr10	117128521	117138301	VAX1	0	-	9780	0.23
ENSG00000148734	chr10	70247329	70284004	NPFFR1	0	-	36675	0.536
ENSG00000148942	chr11	26667020	26723427	SLC5A12	0	-	56407	0.439
ENSG00000149021	chr11	62405103	62423195	SCGB1A1	0	+	18092	0.239
ENSG00000149124	chr11	58640426	58731974	GLYAT	0	-	91548	0.364
ENSG00000149133	chr11	55993681	55994625	OR5F1	0	-	944	0.0
ENSG00000149201	chr11	86374736	86423109	CCDC81	0	+	48373	0.5
ENSG00000149305	chr11	113904796	113949079	HTR3B	0	+	44283	0.008
ENSG00000149435	chr20	23985050	23988779	GGTLC1	0	-	3729	0.594
ENSG00000149452	chr11	62989154	63015841	SLC22A8	0	-	26687	0.012
ENSG00000149488	chr20	2536573	2643580	TMC2	0	+	107007	0.16
ENSG00000149506	chr11	60867542	60875693	ZP1	0	+	8151	0.291
ENSG00000149507	chr11	60040409	60048044	OOSP2	0	+	7635	0.003
ENSG00000149516	chr11	60056587	60071115	MS4A3	0	+	14528	0.02
ENSG00000149571	chr11	126423358	127003460	KIRREL3	0	-	580102	0.809
ENSG00000149575	chr11	118162806	118176639	SCN2B	0	-	13833	0.868
ENSG00000149634	chr20	45886491	45887622	SPATA25	0	-	1131	0.275
ENSG00000149635	chr20	46540946	46550654	OCSTAMP	0	-	9708	0.057
ENSG00000149651	chr20	45722347	45725830	SPINT4	0	+	3483	0.005
ENSG00000149654	chr20	46173739	46308498	CDH22	0	-	134759	0.369
ENSG00000149742	chr11	63369785	63410294	SLC22A9	0	+	40509	0.018
ENSG00000149972	chr11	99020949	100358885	CNTN5	0	+	1337936	0.537
ENSG00000150045	chr12	9827481	9845007	KLRF1	0	+	17526	0.358
ENSG00000150201	chr10	43371636	43376335	FXYD4	0	+	4699	0.058
ENSG00000150244	chr11	55262155	55271114	TRIM48	0	+	8959	0.009
ENSG00000150261	chr11	56346039	56346998	OR8K1	0	+	959	0.001
ENSG00000150275	chr10	53802771	55627942	PCDH15	0	-	1825171	0.085
ENSG00000150394	chr16	61647242	62037035	CDH8	0	-	389793	0.684
ENSG00000150628	chr4	176184579	176195585	SPATA4	0	-	11006	0.421
ENSG00000150656	chr18	74534500	74587212	CNDP1	0	+	52712	0.22
ENSG00000150676	chr11	85855101	85920021	CCDC83	0	+	64920	0.155
ENSG00000150722	chr2	181954241	182131398	PPP1R1C	0	+	177157	0.733
ENSG00000150750	chr11	111245725	111286401	C11orf53	0	+	40676	0.254
ENSG00000151005	chr4	163471095	163473754	TKTL2	0	-	2659	0.042
ENSG00000151023	chr10	24981979	25062279	ENKUR	0	-	80300	0.625
ENSG00000151033	chr10	30611779	30629762	LYZL2	0	-	17983	0.107
ENSG00000151360	chr2	3658200	3702671	ALLC	0	+	44471	0.024
ENSG00000151379	chr2	17816460	17817798	MSGN1	0	+	1338	0.009
ENSG00000151418	chr1	198523222	198540945	ATP6V1G3	0	-	17723	0.007
ENSG00000151475	chr4	127730400	127774292	SLC25A31	0	+	43892	0.01
ENSG00000151572	chr12	100717526	101128641	ANO4	0	+	411115	0.42
ENSG00000151577	chr3	114127580	114199407	DRD3	0	-	71827	0.006
ENSG00000151615	chr4	146638893	146642474	POU4F2	0	+	3581	0.008
ENSG00000151650	chr10	133237855	133241928	VENTX	0	+	4073	0.846
ENSG00000151704	chr11	128836315	128867373	KCNJ1	0	-	31058	0.109
ENSG00000151812	chr14	57563920	57982194	SLC35F4	0	-	418274	0.081
ENSG00000151834	chr4	46243548	46475230	GABRA2	0	-	231682	0.675
ENSG00000151948	chr12	128853427	128984968	GLT1D1	0	+	131541	0.321
ENSG00000151952	chr12	129071725	129904025	TMEM132D	0	-	832300	0.03
ENSG00000151962	chr4	154781213	154828813	RBM46	0	+	47600	0.094
ENSG00000152034	chr6	99918519	99994247	MCHR2	0	-	75728	0.009
ENSG00000152093	chr2	130521197	130528604	CFC1B	0	+	7407	0.104
ENSG00000152192	chr13	78598362	78603552	POU4F1	0	-	5190	0.488
ENSG00000152208	chr4	92303966	93810157	GRID2	0	+	1506191	0.213
ENSG00000152214	chr18	42743227	43115691	RIT2	0	-	372464	0.043
ENSG00000152266	chr11	13492054	13496181	PTH	0	-	4127	0.009
ENSG00000152292	chr2	85418714	85437029	SH2D6	0	+	18315	0.222
ENSG00000152430	chr2	197726879	197786762	BOLL	0	-	59883	0.051
ENSG00000152463	chr10	15032227	15073853	OLAH	0	+	41626	0.584
ENSG00000152467	chr19	58034025	58054631	ZSCAN1	0	+	20606	0.94
ENSG00000152591	chr4	87608529	87616873	DSPP	0	+	8344	0.09
ENSG00000152592	chr4	87650280	87664361	DMP1	0	+	14081	0.374
ENSG00000152595	chr4	87821398	87846814	MEPE	0	+	25416	0.734
ENSG00000152672	chr2	70808643	70820599	CLEC4F	0	-	11956	0.755
ENSG00000152760	chr1	66752459	66779047	DYNLT5	0	+	26588	0.481
ENSG00000152779	chr10	89430299	89556641	SLC16A12	0	-	126342	0.671
ENSG00000152785	chr4	81030708	81057627	BMP3	0	+	26919	0.469
ENSG00000152822	chr6	146027646	146437601	GRM1	0	+	409955	0.159
ENSG00000152936	chr12	25409307	25648579	LMNTD1	0	-	239272	0.141
ENSG00000152954	chr6	24126186	24154900	NRSN1	0	+	28714	0.218
ENSG00000153060	chr16	10627501	10694930	TEKT5	0	-	67429	0.511
ENSG00000153093	chr2	110732539	111120610	ACOXL	0	+	388071	0.495
ENSG00000153230	chr1	247738615	247739559	OR14K1	0	+	944	0.031
ENSG00000153266	chr3	62369681	62374324	FEZF2	0	-	4643	0.045
ENSG00000153294	chr6	47685864	47722021	ADGRF4	0	+	36157	0.736
ENSG00000153303	chr6	168053095	168101511	FRMD1	0	-	48416	0.231
ENSG00000153347	chr5	95391366	95450454	FAM81B	0	+	59088	0.765
ENSG00000153495	chr13	111316184	111344249	TEX29	0	+	28065	0.224
ENSG00000153498	chr13	112376355	112434689	SPACA7	0	+	58334	0.011
ENSG00000153684	chr15	28378621	28392021	GOLGA8F	0	+	13400	0.04
ENSG00000153779	chrX	89921908	89922883	TGIF2LX	0	+	975	0.022
ENSG00000153789	chr16	85098358	85112472	CIBAR2	0	-	14114	0.293
ENSG00000153802	chr4	67820876	67884002	TMPRSS11D	0	-	63126	0.241
ENSG00000153820	chr2	227979955	228181687	SPHKAP	0	-	201732	0.562
ENSG00000153930	chr17	55882301	56517016	ANKFN1	0	+	634715	0.819
ENSG00000154007	chr1	75918873	75932404	ASB17	0	-	13531	0.002
ENSG00000154143	chr11	124611428	124620356	PANX3	0	+	8928	0.03
ENSG00000154162	chr5	21750673	22853344	CDH12	0	-	1102671	0.43
ENSG00000154227	chr15	100400395	100544995	CERS3	0	-	144600	0.629
ENSG00000154252	chr2	241776822	241804287	GAL3ST2	0	+	27465	0.79
ENSG00000154342	chr1	228006998	228061271	WNT3A	0	+	54273	0.286
ENSG00000154415	chr7	113876777	114075920	PPP1R3A	0	-	199143	0.028
ENSG00000154479	chr2	169645425	169694405	CCDC173	0	-	48980	0.68
ENSG00000154493	chr10	126424997	126798708	C10orf90	0	-	373711	0.738
ENSG00000154611	chr18	26133852	26193355	PSMA8	0	+	59503	0.086
ENSG00000154620	chrY	13703899	13706024	TMSB4Y	0	+	2125	0.091
ENSG00000154646	chr21	18269116	18485879	TMPRSS15	0	-	216763	0.057
ENSG00000154764	chr3	13816258	13880071	WNT7A	0	-	63813	0.165
ENSG00000154975	chr17	51630313	52160017	CA10	0	-	529704	0.545
ENSG00000154997	chr7	55793540	55862755	SEPTIN14	0	-	69215	0.031
ENSG00000155052	chr2	124025287	124921219	CNTNAP5	0	+	895932	0.077
ENSG00000155087	chr8	102551589	102561018	ODF1	0	+	9429	0.011
ENSG00000155249	chr14	19930917	19936757	OR4K1	0	+	5840	0.003
ENSG00000155428	chr7	72959485	72969466	TRIM74	0	-	9981	0.423
ENSG00000155495	chrX	141903894	141909374	MAGEC1	0	+	5480	0.714
ENSG00000155622	chrX	52369021	52375680	XAGE2	0	+	6659	0.732
ENSG00000155714	chr16	21983865	22001116	PDZD9	0	-	17251	0.08
ENSG00000155719	chr16	21663968	21761935	OTOA	0	+	97967	0.558
ENSG00000155749	chr2	201288271	201357398	FLACC1	0	-	69127	0.373
ENSG00000155754	chr2	201487421	201619178	C2CD6	0	-	131757	0.538
ENSG00000155816	chr1	240014348	240475187	FMN2	0	+	460839	0.601
ENSG00000155833	chr9	102995311	103018488	CYLC2	0	+	23177	0.002
ENSG00000155890	chr3	140678064	140701150	TRIM42	0	+	23086	0.003
ENSG00000155897	chr8	130780301	131040909	ADCY8	0	-	260608	0.303
ENSG00000155918	chr6	150018334	150025532	RAET1L	0	-	7198	0.784
ENSG00000156006	chr8	18391282	18401218	NAT2	0	+	9936	0.926
ENSG00000156009	chrX	149881141	149885835	MAGEA8	0	+	4694	0.559
ENSG00000156097	chr1	109539872	109548406	GPR61	0	+	8534	0.14
ENSG00000156194	chr4	75859864	75902571	PPEF2	0	-	42707	0.042
ENSG00000156206	chr15	81007033	81149179	CFAP161	0	+	142146	0.198
ENSG00000156222	chr15	84884654	84945798	SLC28A1	0	+	61144	0.424
ENSG00000156269	chr4	79225694	79326061	NAA11	0	-	100367	0.191
ENSG00000156282	chr21	30165565	30166805	CLDN17	0	-	1240	0.002
ENSG00000156395	chr10	104641290	105265242	SORCS3	0	+	623952	0.366
ENSG00000156466	chr8	96142333	96160806	GDF6	0	-	18473	0.7
ENSG00000156475	chr5	146580742	147084784	PPP2R2B	0	-	504042	0.973
ENSG00000156510	chr10	69220332	69267552	HKDC1	0	+	47220	0.201
ENSG00000156564	chr6	40391591	40587364	LRFN2	0	-	195773	0.806
ENSG00000156574	chr10	70431936	70447951	NODAL	0	-	16015	0.207
ENSG00000156575	chr11	57376769	57381150	PRG3	0	-	4381	0.001
ENSG00000156687	chr8	35235475	35796550	UNC5D	0	+	561075	0.554
ENSG00000156885	chr16	31427731	31428360	COX6A2	0	-	629	0.145
ENSG00000156886	chr16	31393335	31426505	ITGAD	0	+	33170	0.747
ENSG00000156920	chrX	136300963	136416890	ADGRG4	0	+	115927	0.028
ENSG00000156925	chrX	137566127	137577691	ZIC3	0	+	11564	0.131
ENSG00000156959	chr3	9498361	9553822	LHFPL4	0	-	55461	0.694
ENSG00000157005	chr3	187668912	187670394	SST	0	-	1482	0.085
ENSG00000157060	chr1	182899865	182953525	SHCBP1L	0	-	53660	0.023
ENSG00000157093	chr3	42397083	42410610	LYZL4	0	-	13527	0.017
ENSG00000157111	chr5	73120569	73131809	TMEM171	0	+	11240	0.457
ENSG00000157119	chr3	42685537	42692544	KLHL40	0	+	7007	0.025
ENSG00000157131	chr1	56854797	56918223	C8A	0	+	63426	0.007
ENSG00000157219	chr7	155070324	155087392	HTR5A	0	+	17068	0.006
ENSG00000157322	chr16	69950705	69964452	CLEC18A	0	+	13747	0.525
ENSG00000157330	chr1	12746200	12763699	C1orf158	0	+	17499	0.153
ENSG00000157335	chr16	70173322	70187361	CLEC18C	0	+	14039	0.388
ENSG00000157343	chr6	35737032	35749079	ARMC12	0	+	12047	0.349
ENSG00000157782	chr12	120640626	120667324	CABP1	0	+	26698	0.434
ENSG00000157856	chr2	26401920	26456711	DRC1	0	+	54791	0.395
ENSG00000157884	chr2	26581205	26641366	CIB4	0	-	60161	0.054
ENSG00000157890	chr15	65895079	66253756	MEGF11	0	-	358677	0.413
ENSG00000158022	chr1	26051301	26068436	TRIM63	0	-	17135	0.224
ENSG00000158077	chr11	7020479	7071526	NLRP14	0	+	51047	0.065
ENSG00000158113	chr12	122167738	122203471	LRRC43	0	+	35733	0.815
ENSG00000158428	chr2	218356857	218368099	CATIP	0	+	11242	0.761
ENSG00000158485	chr1	158327951	158331531	CD1B	0	-	3580	0.449
ENSG00000158486	chr16	20933111	21159441	DNAH3	0	-	226330	0.862
ENSG00000158497	chr5	143812161	143820716	HMHB1	0	+	8555	0.019
ENSG00000158516	chr7	130266863	130289798	CPA2	0	+	22935	0.078
ENSG00000158525	chr7	130344816	130368730	CPA5	0	+	23914	0.212
ENSG00000158553	chr6	27285903	27312273	POM121L2	0	-	26370	0.03
ENSG00000158578	chrX	55009055	55030977	ALAS2	0	-	21922	0.064
ENSG00000158639	chrX	55220346	55224108	PAGE5	0	+	3762	0.382
ENSG00000158748	chr1	19664875	19680966	HTR6	0	+	16091	0.094
ENSG00000158764	chr1	160945025	160954809	ITLN2	0	-	9784	0.089
ENSG00000158786	chr1	20139323	20150381	PLA2G2F	0	+	11058	0.097
ENSG00000158806	chr8	22024125	22036897	NPM2	0	+	12772	0.696
ENSG00000158815	chr8	22042398	22048809	FGF17	0	+	6411	0.092
ENSG00000158816	chr1	20290875	20359518	VWA5B1	0	+	68643	0.099
ENSG00000158865	chr16	24845841	24911628	SLC5A11	0	+	65787	0.438
ENSG00000158874	chr1	161222292	161223631	APOA2	0	-	1339	0.089
ENSG00000158901	chr20	45551153	45579326	WFDC8	0	-	28173	0.012
ENSG00000158955	chr17	46833201	46886730	WNT9B	0	+	53529	0.143
ENSG00000159182	chr17	48721719	48722518	PRAC1	0	-	799	0.029
ENSG00000159197	chr21	34364006	34371381	KCNE2	0	+	7375	0.502
ENSG00000159217	chr17	48997385	49056145	IGF2BP1	0	+	58760	0.913
ENSG00000159224	chr17	48958554	48968596	GIP	0	-	10042	0.054
ENSG00000159248	chr15	34751032	34754998	GJD2	0	-	3966	0.036
ENSG00000159251	chr15	34790230	34795549	ACTC1	0	-	5319	0.67
ENSG00000159261	chr21	36460621	36576569	CLDN14	0	-	115948	0.569
ENSG00000159289	chr15	74069857	74082550	GOLGA6A	0	-	12693	0.05
ENSG00000159337	chr15	42067009	42094562	PLA2G4D	0	-	27553	0.314
ENSG00000159339	chr1	17308195	17364004	PADI4	0	+	55809	0.128
ENSG00000159398	chr16	55846154	55956031	CES5A	0	-	109877	0.068
ENSG00000159450	chr1	152106317	152115444	TCHH	0	-	9127	0.775
ENSG00000159455	chr1	152686123	152687397	LCE2B	0	+	1274	0.112
ENSG00000159495	chr15	43276271	43302255	TGM7	0	-	25984	0.022
ENSG00000159516	chr1	153149582	153150890	SPRR2G	0	-	1308	0.052
ENSG00000159527	chr1	153297116	153312952	PGLYRP3	0	-	15836	0.128
ENSG00000159556	chr15	76336773	76342475	ISL2	0	+	5702	0.204
ENSG00000159588	chr1	45620044	45624057	CCDC17	0	-	4013	0.826
ENSG00000159625	chr16	57694793	57731805	DRC7	0	+	37012	0.267
ENSG00000159648	chr16	57976435	57988116	TEPP	0	+	11681	0.175
ENSG00000159650	chr3	126481166	126517773	UROC1	0	-	36607	0.053
ENSG00000159708	chr16	67326798	67385204	LRRC36	0	+	58406	0.622
ENSG00000159723	chr16	67482571	67483547	AGRP	0	-	976	0.056
ENSG00000159961	chr17	3411370	3424070	OR3A3	0	+	12700	0.02
ENSG00000160181	chr21	42346357	42350997	TFF2	0	-	4640	0.326
ENSG00000160202	chr21	43169008	43172805	CRYAA	0	+	3797	0.012
ENSG00000160224	chr21	44285838	44298648	AIRE	0	+	12810	0.044
ENSG00000160282	chr21	46136160	46155579	FTCD	0	-	19419	0.438
ENSG00000160318	chr19	51367098	51369003	CLDND2	0	-	1905	0.344
ENSG00000160339	chr9	134880810	134887523	FCN2	0	+	6713	0.741
ENSG00000160349	chr9	135521438	135526540	LCN1	0	+	5102	0.039
ENSG00000160472	chr19	55376826	55378246	TMEM190	0	+	1420	0.329
ENSG00000160808	chr3	46835111	46882172	MYL3	0	-	47061	0.346
ENSG00000160838	chr1	156920632	156933094	LRRC71	0	+	12462	0.26
ENSG00000160868	chr7	99756960	99784248	CYP3A4	0	-	27288	0.085
ENSG00000160951	chr19	14472466	14475354	PTGER1	0	-	2888	0.109
ENSG00000161180	chr22	21632716	21637329	CCDC116	0	+	4613	0.146
ENSG00000161270	chr19	35825372	35869287	NPHS1	0	-	43915	0.312
ENSG00000161594	chr17	41835685	41848384	KLHL10	0	+	12699	0.177
ENSG00000161609	chr19	49388219	49417990	KASH5	0	+	29771	0.198
ENSG00000161610	chr17	42184060	42185452	HCRT	0	-	1392	0.005
ENSG00000161652	chr19	50152548	50163281	IZUMO2	0	-	10733	0.018
ENSG00000161681	chr19	50659255	50719802	SHANK1	0	-	60547	0.815
ENSG00000161807	chr19	9114828	9115763	OR7G1	0	-	935	0.0
ENSG00000161849	chr12	52377812	52385652	KRT84	0	-	7840	0.214
ENSG00000161850	chr12	52393931	52406335	KRT82	0	-	12404	0.182
ENSG00000161896	chr6	33721662	33746905	IP6K3	0	-	25243	0.8
ENSG00000161911	chr6	41149337	41154347	TREML1	0	-	5010	0.382
ENSG00000161944	chr17	7101322	7115700	ASGR2	0	-	14378	0.4
ENSG00000161973	chr17	8729935	8745219	CCDC42	0	-	15284	0.037
ENSG00000161992	chr16	560394	565529	PRR35	0	+	5135	0.03
ENSG00000162006	chr16	769428	783370	MSLNL	0	-	13942	0.248
ENSG00000162009	chr16	1072747	1081454	SSTR5	0	+	8707	0.09
ENSG00000162039	chr16	1833986	1884294	MEIOB	0	-	50308	0.463
ENSG00000162040	chr16	1911475	1918415	HS3ST6	0	-	6940	0.348
ENSG00000162068	chr16	2471297	2474145	NTN3	0	+	2848	0.14
ENSG00000162267	chr3	52794768	52809009	ITIH3	0	+	14241	0.853
ENSG00000162344	chr11	69698238	69704022	FGF19	0	-	5784	0.177
ENSG00000162365	chr1	47137435	47149727	CYP4A22	0	+	12292	0.314
ENSG00000162374	chr1	50024029	50203772	ELAVL4	0	+	179743	0.602
ENSG00000162383	chr1	53087179	53142638	SLC1A7	0	-	55459	0.842
ENSG00000162398	chr1	54806063	54842252	LEXM	0	+	36189	0.122
ENSG00000162399	chr1	54998933	55017172	BSND	0	+	18239	0.103
ENSG00000162438	chr1	15438442	15449242	CTRC	0	+	10800	0.063
ENSG00000162456	chr1	46545641	46551647	KNCN	0	-	6006	0.021
ENSG00000162460	chr1	15742499	15747982	TMEM82	0	+	5483	0.138
ENSG00000162461	chr1	15736258	15741392	SLC25A34	0	+	5134	0.801
ENSG00000162494	chr1	13474973	13514003	LRRC38	0	-	39030	0.042
ENSG00000162510	chr1	30711277	30723585	MATN1	0	-	12308	0.636
ENSG00000162571	chr1	1173880	1197936	TTLL10	0	+	24056	0.278
ENSG00000162592	chr1	3746460	3771645	CCDC27	0	+	25185	0.787
ENSG00000162598	chr1	59987269	60073770	C1orf87	0	-	86501	0.036
ENSG00000162624	chr1	75128434	75161533	LHX8	0	+	33099	0.296
ENSG00000162641	chr1	108815898	108963484	AKNAD1	0	-	147586	0.315
ENSG00000162643	chr1	84999147	85133138	DNAI3	0	+	133991	0.693
ENSG00000162669	chr1	91260766	91404856	HFM1	0	-	144090	0.239
ENSG00000162687	chr1	196225779	196609225	KCNT2	0	-	383446	0.862
ENSG00000162723	chr1	159951492	159954237	SLAMF9	0	-	2745	0.465
ENSG00000162727	chr1	248145148	248146086	OR2M5	0	+	938	0.001
ENSG00000162728	chr1	160081538	160090563	KCNJ9	0	+	9025	0.109
ENSG00000162753	chr1	173500460	173603072	SLC9C2	0	-	102612	0.035
ENSG00000162761	chr1	165201867	165356715	LMX1A	0	-	154848	0.207
ENSG00000162763	chr1	165544000	165563957	LRRC52	0	+	19957	0.062
ENSG00000162771	chr1	212624474	212626775	FAM71A	0	+	2301	0.034
ENSG00000162779	chr1	179365720	179554735	AXDND1	0	+	189015	0.292
ENSG00000162843	chr1	241652278	241802777	WDR64	0	+	150499	0.155
ENSG00000162877	chr1	205828025	205850132	PM20D1	0	-	22107	0.228
ENSG00000162897	chr1	206957965	206970625	FCAMR	0	-	12660	0.387
ENSG00000163012	chr2	186827475	186849208	ZSWIM2	0	-	21733	0.005
ENSG00000163046	chr2	132147591	132257969	ANKRD30BL	0	-	110378	0.032
ENSG00000163060	chr2	94871430	94876823	TEKT4	0	+	5393	0.347
ENSG00000163092	chr2	166888480	167259753	XIRP2	0	+	371273	0.723
ENSG00000163114	chr4	95840093	95841464	PDHA2	0	+	1371	0.005
ENSG00000163116	chr4	97184093	98143476	STPG2	0	-	959383	0.163
ENSG00000163202	chr1	152579381	152580516	LCE3D	0	-	1135	0.043
ENSG00000163206	chr1	152878322	152885047	SMCP	0	+	6725	0.003
ENSG00000163216	chr1	153039732	153041931	SPRR2D	0	-	2199	0.649
ENSG00000163217	chr2	68860909	68871397	BMP10	0	-	10488	0.003
ENSG00000163218	chr1	153330120	153348841	PGLYRP4	0	-	18721	0.448
ENSG00000163221	chr1	153373711	153375621	S100A12	0	-	1910	0.127
ENSG00000163239	chr1	154502219	154548147	TDRD10	0	+	45928	0.656
ENSG00000163254	chr2	208128137	208129828	CRYGC	0	-	1691	0.001
ENSG00000163263	chr1	154199085	154206333	C1orf189	0	-	7248	0.166
ENSG00000163273	chr2	231921809	231926396	NPPC	0	-	4587	0.844
ENSG00000163283	chr2	232378724	232382889	ALPP	0	+	4165	0.092
ENSG00000163285	chr4	46035769	46124054	GABRG1	0	-	88285	0.039
ENSG00000163286	chr2	232406844	232410714	ALPG	0	+	3870	0.025
ENSG00000163288	chr4	46993723	47426447	GABRB1	0	+	432724	0.086
ENSG00000163295	chr2	232456125	232460753	ALPI	0	+	4628	0.04
ENSG00000163352	chr1	154993586	154994315	LENEP	0	+	729	0.093
ENSG00000163377	chr3	68731766	68953297	TAFA4	0	-	221531	0.12
